userId;age;gender;educationLevel;typingHabits;created_at
testuser1;25;Male;Bachelor;Occasionally;2025-12-03T11:58:02.244694
testuser2;18;Male;High School;Occasionally;2025-12-03T12:10:03.124663
USER_1764764890837_406;29;Male;Bachelor;Occasionally;2025-12-03T12:29:17.635353
USER_1764765079711_515;26;Male;Bachelor;Occasionally;2025-12-03T12:31:56.926824
USER_1764765874903_604;18;Male;Bachelor;Occasionally;2025-12-03T12:45:20.680941
USER_1765469146731_325;23;Male;High School;Occasionally;2025-12-11T16:20:53.507683
